wo_plano_drive_1;wo_plano_drive_2;wo_plano_mean
-0,764;-0,592;-0,678
-0,85;-0,415;-0,6325
-0,857;-0,451;-0,654
-0,781;-0,242;-0,5115
-1,047;-0,523;-0,785
-1,009;-0,676;-0,8425
-0,74;-0,726;-0,733
-0,687;-0,335;-0,511
-0,574;-0,234;-0,404
-0,453;0;-0,2265
-0,426;0;-0,213
-0,404;-0,048;-0,226
-0,215;-0,322;-0,2685
-0,399;-0,26;-0,3295
-0,418;-0,228;-0,323
-0,23;-0,249;-0,2395
-0,081;0;-0,0405
0;0;0
-0,193;-0,287;-0,24
-0,037;-0,245;-0,141
-0,2;-0,303;-0,2515
-0,192;-0,365;-0,2785
-0,136;-0,196;-0,166
-0,159;-0,222;-0,1905
-0,23;-0,259;-0,2445
-0,137;-0,527;-0,332
0;-0,602;-0,301
-0,223;-0,447;-0,335
-0,092;-0,315;-0,2035
-0,308;-0,359;-0,3335
-0,382;-0,303;-0,3425
0;-0,291;-0,1455
-0,02;-0,136;-0,078
0;-0,549;-0,2745
-0,365;-0,879;-0,622
-0,413;-0,853;-0,633
-0,54;-0,948;-0,744
-0,539;-1,047;-0,793
-0,926;-1,04;-0,983
-1,03;-0,531;-0,7805
-0,425;0;-0,2125
0;-0,044;-0,022
0;-0,149;-0,0745
0;-0,465;-0,2325
-0,158;-0,741;-0,4495
-0,184;-0,515;-0,3495
-0,217;-0,411;-0,314
-0,017;-0,603;-0,31
-0,04;-0,618;-0,329
0;-0,259;-0,1295
-0,056;-0,073;-0,0645
-0,141;-0,406;-0,2735
-0,085;-0,575;-0,33
-0,089;-0,221;-0,155
-0,106;-0,328;-0,217
-0,05;-0,224;-0,137
-0,164;-0,218;-0,191
-0,065;-0,222;-0,1435
0;-0,152;-0,076
-0,27;-0,408;-0,339
-0,417;-0,604;-0,5105
-0,462;-0,731;-0,5965
-0,111;-0,706;-0,4085
0;-0,961;-0,4805
-0,237;-1,03;-0,6335
-0,029;-0,88;-0,4545
-0,17;-1,005;-0,5875
-0,045;-1,273;-0,659
-0,565;-1,422;-0,9935
-1,15;-1,218;-1,184
-0,961;-0,622;-0,7915
-0,381;-0,471;-0,426
-0,604;-0,708;-0,656
-1,122;-1,033;-1,0775
-0,955;-1,15;-1,0525
-0,787;-1,193;-0,99
-0,493;-0,956;-0,7245
-0,483;-1,1;-0,7915
-0,491;-1,017;-0,754
-0,351;-1,124;-0,7375
-0,695;-1,034;-0,8645
-0,472;-0,634;-0,553
-0,193;-0,515;-0,354
-0,381;-0,284;-0,3325
-0,45;-0,084;-0,267
-0,211;-0,018;-0,1145
-0,359;-0,437;-0,398
-0,969;-1,025;-0,997
-0,897;-1,328;-1,1125
-0,916;-1,107;-1,0115
-1,267;-1,03;-1,1485
-1,219;-1,364;-1,2915
-1,356;-1,466;-1,411
-1,67;-1,448;-1,559
-1,219;-1,387;-1,303
-1,193;-1,45;-1,3215
-1,083;-1,612;-1,3475
-1,068;-1,632;-1,35
-1,124;-1,374;-1,249
-1,049;-1,133;-1,091
-1,131;-1,216;-1,1735
-1,058;-1,174;-1,116
-1,131;-1,299;-1,215
-0,816;-1,119;-0,9675
-0,903;-0,891;-0,897
-0,682;-0,471;-0,5765
-0,434;-0,323;-0,3785
-0,293;0;-0,1465
-0,309;-0,09;-0,1995
0;-0,088;-0,044
-0,001;0;-0,0005
-0,277;-0,128;-0,2025
-0,229;-0,079;-0,154
-0,045;-0,183;-0,114
-0,233;-0,19;-0,2115
-0,566;-0,392;-0,479
-0,599;-0,31;-0,4545
-0,831;-0,385;-0,608
-0,981;-0,442;-0,7115
-0,872;-0,188;-0,53
-0,505;-0,44;-0,4725
-0,499;-0,543;-0,521
-0,619;-0,082;-0,3505
-0,233;-0,12;-0,1765
-0,135;-0,165;-0,15
-0,268;-0,366;-0,317
-0,378;-0,352;-0,365
-0,212;-0,147;-0,1795
-0,113;0;-0,0565
0;-0,209;-0,1045
-0,361;-0,107;-0,234
0;0;0
0;-0,066;-0,033
-0,11;-0,244;-0,177
-0,162;-0,066;-0,114
-0,009;-0,132;-0,0705
0;-0,063;-0,0315
-0,283;0;-0,1415
-0,395;-0,014;-0,2045
-0,416;-0,074;-0,245
-0,468;0;-0,234
-0,671;-0,013;-0,342
-0,545;-0,107;-0,326
-0,612;-0,227;-0,4195
-0,478;-0,58;-0,529
-0,545;-0,45;-0,4975
-0,592;-0,527;-0,5595
-0,613;-0,38;-0,4965
-0,503;-0,113;-0,308
-0,421;-0,191;-0,306
-0,405;-0,525;-0,465
-0,354;-0,742;-0,548
-0,573;-0,658;-0,6155
-0,366;-0,428;-0,397
0;-0,507;-0,2535
-0,177;-0,725;-0,451
-0,464;-0,699;-0,5815
-0,657;-0,872;-0,7645
-0,769;-0,834;-0,8015
-0,45;-0,471;-0,4605
-0,393;-0,252;-0,3225
-0,354;-0,317;-0,3355
-0,195;-0,439;-0,317
-0,238;-0,221;-0,2295
-0,491;0;-0,2455
-0,745;-0,149;-0,447
-0,67;-0,528;-0,599
-0,816;-0,544;-0,68
-1,111;-0,405;-0,758
-1,138;-0,19;-0,664
-1,045;-0,591;-0,818
-1,105;-0,945;-1,025
-1,51;-0,827;-1,1685
-1,176;-0,97;-1,073
-1,286;-0,756;-1,021
-0,83;-0,303;-0,5665
-0,649;-0,31;-0,4795
-0,918;-0,779;-0,8485
-1,146;-1,255;-1,2005
-1,164;-1,147;-1,1555
-1,268;-0,918;-1,093
-0,79;-0,692;-0,741
-1,071;-0,756;-0,9135
-1,238;-0,77;-1,004
-1,089;-0,664;-0,8765
-0,757;-0,44;-0,5985
-0,699;-0,509;-0,604
-0,636;-0,46;-0,548
-0,265;-0,175;-0,22
-0,44;-0,277;-0,3585
-0,542;-0,397;-0,4695
-0,734;-0,761;-0,7475
-0,878;-0,887;-0,8825
-0,917;-1,135;-1,026
-0,957;-0,965;-0,961
-1,388;-1,335;-1,3615
-1,359;-1,32;-1,3395
-1,473;-1,291;-1,382
-1,919;-1,274;-1,5965
-1,711;-1,306;-1,5085
-1,686;-1,577;-1,6315
-1,726;-1,81;-1,768
-1,68;-2,042;-1,861
-1,697;-2,021;-1,859
-1,525;-2,217;-1,871
-1,738;-2,59;-2,164
-2,004;-2,717;-2,3605
-2,198;-2,861;-2,5295
-2,45;-2,37;-2,41
-1,984;-2,089;-2,0365
-1,517;-1,248;-1,3825
-1,078;-0,914;-0,996
-0,95;-0,956;-0,953
-1,071;-1,056;-1,0635
-1,367;-1,142;-1,2545
-1,039;-0,922;-0,9805
-1,001;-0,887;-0,944
-0,818;-0,718;-0,768
