wo_plano_drive_1;wo_plano_drive_2;wo_plano_mean
-0,538;0;-0,269
0;0;0
0;-0,31;-0,155
-0,319;-0,88;-0,5995
-0,75;-1,099;-0,9245
-0,952;-1,496;-1,224
-1,003;-1,382;-1,1925
-1,148;-1,419;-1,2835
-1,096;-1,072;-1,084
-1,278;-0,951;-1,1145
-1,098;-1,173;-1,1355
-0,936;-0,743;-0,8395
-0,681;-0,5;-0,5905
-0,415;-0,41;-0,4125
-0,523;-0,669;-0,596
-0,589;-0,198;-0,3935
-0,376;-0,16;-0,268
-0,442;-0,29;-0,366
-0,3;-0,592;-0,446
-0,175;-0,58;-0,3775
-0,085;-0,575;-0,33
-0,002;-0,636;-0,319
-0,197;-0,597;-0,397
-0,497;-0,443;-0,47
-0,514;-0,71;-0,612
-0,717;-1,087;-0,902
-0,876;-0,96;-0,918
-0,732;-0,982;-0,857
-0,73;-0,925;-0,8275
-0,925;-1,159;-1,042
-0,87;-1,065;-0,9675
-1,033;-1,138;-1,0855
-1,075;-1,158;-1,1165
-1,314;-1,502;-1,408
-1,457;-1,522;-1,4895
-1,627;-1,744;-1,6855
-1,862;-1,645;-1,7535
-1,632;-1,198;-1,415
-1,142;-0,627;-0,8845
-0,744;-0,503;-0,6235
-0,717;-0,48;-0,5985
-0,959;-0,321;-0,64
-0,932;-0,168;-0,55
-0,66;-0,185;-0,4225
-0,728;-0,169;-0,4485
-0,541;-0,218;-0,3795
-0,582;-0,05;-0,316
-0,527;-0,088;-0,3075
-0,293;-0,012;-0,1525
0;0;0
-0,133;-0,038;-0,0855
-0,223;-0,073;-0,148
-0,364;0;-0,182
-0,24;-0,169;-0,2045
-0,374;-0,221;-0,2975
-0,314;-0,33;-0,322
-0,262;-0,135;-0,1985
-0,12;-0,039;-0,0795
-0,036;-0,152;-0,094
0;-0,255;-0,1275
-0,316;-0,177;-0,2465
-0,23;-0,132;-0,181
-0,15;-0,18;-0,165
-0,194;-0,344;-0,269
-0,168;-0,086;-0,127
0;-0,02;-0,01
-0,024;-0,191;-0,1075
-0,121;0;-0,0605
-0,032;-0,022;-0,027
0;-0,295;-0,1475
-0,204;-0,767;-0,4855
-0,237;-0,71;-0,4735
-0,351;-0,673;-0,512
-0,307;-0,84;-0,5735
-0,617;-1,218;-0,9175
-1,218;-1,462;-1,34
-1,461;-1,39;-1,4255
-1,568;-1,46;-1,514
-1,863;-1,395;-1,629
-1,845;-1,268;-1,5565
-1,839;-1,733;-1,786
-2,011;-1,882;-1,9465
-2,003;-1,988;-1,9955
-1,997;-2,099;-2,048
-2,052;-2,213;-2,1325
-2,537;-2,045;-2,291
-2,466;-2,066;-2,266
-2,262;-2,182;-2,222
-2,078;-2,101;-2,0895
-1,938;-2,091;-2,0145
-1,633;-1,851;-1,742
-1,568;-1,875;-1,7215
-1,817;-2,076;-1,9465
-1,79;-1,615;-1,7025
-1,262;-0,755;-1,0085
-0,521;-0,409;-0,465
-0,372;-0,537;-0,4545
-0,72;-0,886;-0,803
-0,845;-1,07;-0,9575
-0,9;-1,112;-1,006
-0,857;-0,689;-0,773
-0,912;-0,394;-0,653
-0,688;-0,299;-0,4935
-0,596;-0,261;-0,4285
-0,71;-0,422;-0,566
-0,517;-0,784;-0,6505
-0,953;-0,938;-0,9455
-1,278;-1,031;-1,1545
-1,269;-1,126;-1,1975
-1,452;-1,461;-1,4565
-1,735;-1,733;-1,734
-1,909;-1,732;-1,8205
-2,122;-1,841;-1,9815
-1,999;-1,829;-1,914
-1,986;-1,893;-1,9395
-1,922;-1,692;-1,807
-1,743;-1,489;-1,616
-1,472;-1,113;-1,2925
-1,396;-1,291;-1,3435
-1,492;-1,24;-1,366
-1,702;-1,467;-1,5845
-1,754;-1,926;-1,84
-2,084;-2,175;-2,1295
-2,138;-1,607;-1,8725
-1,466;-0,557;-1,0115
-0,868;0;-0,434
-0,236;-0,263;-0,2495
-0,442;-0,513;-0,4775
-0,757;-0,654;-0,7055
-0,945;-0,907;-0,926
-0,834;-1;-0,917
-0,891;-1,04;-0,9655
-0,904;-0,675;-0,7895
-0,746;-0,442;-0,594
-0,552;-0,202;-0,377
-0,388;-0,364;-0,376
-0,164;-0,214;-0,189
0;-0,079;-0,0395
-0,082;-0,317;-0,1995
-0,365;-0,354;-0,3595
-0,562;-0,43;-0,496
-0,351;-0,619;-0,485
-0,647;-0,437;-0,542
-0,394;-0,164;-0,279
-0,358;0;-0,179
-0,045;-0,179;-0,112
-0,109;-0,225;-0,167
-0,45;-0,494;-0,472
-0,551;-0,446;-0,4985
-0,514;-0,55;-0,532
-0,604;-0,203;-0,4035
-0,295;-0,198;-0,2465
-0,032;-0,118;-0,075
-0,011;-0,087;-0,049
-0,225;-0,212;-0,2185
-0,267;-0,42;-0,3435
-0,353;-0,694;-0,5235
-0,391;-0,442;-0,4165
-0,24;0;-0,12
0;-0,086;-0,043
-0,127;-0,04;-0,0835
-0,406;0;-0,203
-0,729;-0,276;-0,5025
-0,709;-0,129;-0,419
-0,62;-0,177;-0,3985
-0,281;-0,043;-0,162
0;0;0
-0,126;-0,022;-0,074
0;-0,305;-0,1525
-0,174;-0,1;-0,137
-0,315;-0,257;-0,286
-0,342;-0,38;-0,361
-0,327;-0,603;-0,465
-0,407;-0,555;-0,481
-0,512;-0,234;-0,373
-0,593;-0,477;-0,535
-0,699;-0,85;-0,7745
-0,799;-1,079;-0,939
-1,114;-1,25;-1,182
-1,446;-0,736;-1,091
-1,219;-0,49;-0,8545
-1,103;-0,992;-1,0475
-1,42;-1,477;-1,4485
-1,735;-1,783;-1,759
-1,994;-1,964;-1,979
-2,509;-2,05;-2,2795
-2,549;-1,916;-2,2325
-2,207;-1,599;-1,903
-1,523;-0,416;-0,9695
-0,702;-0,373;-0,5375
-0,437;-0,45;-0,4435
-0,786;-0,818;-0,802
-1,297;-1,235;-1,266
-1,395;-1,207;-1,301
-0,981;-1,142;-1,0615
-0,84;-0,88;-0,86
-0,494;-0,564;-0,529
-0,438;-0,192;-0,315
-0,273;-0,373;-0,323
-0,24;-0,463;-0,3515
-0,21;-0,101;-0,1555
-0,353;-0,074;-0,2135
-0,169;0;-0,0845
-0,135;-0,2;-0,1675
-0,129;-0,175;-0,152
0;-0,379;-0,1895
-0,382;-0,454;-0,418
-0,332;-0,31;-0,321
-0,186;-0,259;-0,2225
-0,164;-0,163;-0,1635
-0,254;-0,101;-0,1775
-0,195;-0,074;-0,1345
-0,19;-0,033;-0,1115
-0,041;-0,156;-0,0985
-0,103;-0,442;-0,2725
-0,234;-0,393;-0,3135
-0,055;-0,626;-0,3405
-0,123;-0,746;-0,4345
-0,294;-0,937;-0,6155
-0,576;-1,262;-0,919
-0,983;-1,147;-1,065
-0,957;-0,541;-0,749
-0,39;-0,57;-0,48
-0,43;-0,42;-0,425
-0,484;-0,348;-0,416
-0,291;-0,211;-0,251
0;-0,293;-0,1465
-0,045;-0,364;-0,2045
-0,084;-0,089;-0,0865
-0,234;0;-0,117
-0,187;0;-0,0935
0;-0,167;-0,0835
0;-0,131;-0,0655
-0,321;-0,247;-0,284
-0,343;-0,332;-0,3375
-0,19;-0,267;-0,2285
-0,478;-0,415;-0,4465
-0,499;-0,263;-0,381
-0,208;0;-0,104
-0,136;-0,331;-0,2335
-0,345;-0,406;-0,3755
-0,485;-0,72;-0,6025
-0,683;-1,039;-0,861
-0,844;-1,503;-1,1735
-1,407;-1,914;-1,6605
-1,638;-2,001;-1,8195
-1,852;-2,449;-2,1505
-2,164;-2,293;-2,2285
-2,397;-2,691;-2,544
-2,924;-2,985;-2,9545
-3,318;-2,902;-3,11
-3,322;-3,339;-3,3305
-3,643;-3,971;-3,807
-4,056;-4,389;-4,2225
-4,395;-4,758;-4,5765
-4,71;-5,212;-4,961
-4,999;-5,405;-5,202
-5,418;-5,422;-5,42
-5,607;-5,536;-5,5715
-5,53;-5,192;-5,361
-5,306;-5,102;-5,204
-5,371;-4,948;-5,1595
-5,256;-4,612;-4,934
-4,805;-4,394;-4,5995
-4,2;-3,977;-4,0885
-3,903;-3,688;-3,7955
-3,393;-3,128;-3,2605
-2,817;-2,833;-2,825
-2,661;-2,276;-2,4685
-1,924;-1,945;-1,9345
-1,367;-1,376;-1,3715
-0,807;-0,571;-0,689
-0,485;-0,142;-0,3135
-0,2;-0,151;-0,1755
-0,132;-0,221;-0,1765
-0,174;-0,185;-0,1795
-0,489;-0,655;-0,572
-0,648;-1,049;-0,8485
-0,962;-1,221;-1,0915
-1,178;-0,943;-1,0605
-0,867;0;-0,4335
0;0;0
0;-0,186;-0,093
-0,413;-0,798;-0,6055
-0,494;-0,63;-0,562
-0,521;-0,556;-0,5385
-0,718;-0,899;-0,8085
-1,359;-1,128;-1,2435
-1,338;-1,241;-1,2895
-1,64;-1,468;-1,554
-1,806;-1,417;-1,6115
-1,614;-1,42;-1,517
-1,315;-1,256;-1,2855
-1,076;-0,848;-0,962
-0,922;-0,971;-0,9465
-0,988;-0,578;-0,783
-0,776;-0,426;-0,601
-0,574;-0,524;-0,549
-0,703;-0,594;-0,6485
-0,957;-0,823;-0,89
-1,162;-0,522;-0,842
-0,659;-0,468;-0,5635
-0,549;-0,259;-0,404
-0,116;-0,172;-0,144
0;0;0
-0,424;-0,11;-0,267
-0,584;-0,303;-0,4435
-0,564;-0,975;-0,7695
-0,617;-0,889;-0,753
-0,753;-0,707;-0,73
-0,818;-0,709;-0,7635
-0,983;-0,772;-0,8775
-1,011;-0,821;-0,916
-0,802;-0,81;-0,806
-0,699;-0,664;-0,6815
-0,541;-0,42;-0,4805
-0,298;-0,329;-0,3135
-0,243;-0,446;-0,3445
-0,055;-0,48;-0,2675
-0,072;-0,276;-0,174
-0,007;-0,414;-0,2105
-0,178;-0,4;-0,289
-0,082;-0,489;-0,2855
0;-0,542;-0,271
-0,17;-0,549;-0,3595
-0,365;-0,371;-0,368
-0,257;-0,454;-0,3555
-0,205;-0,32;-0,2625
-0,09;-0,502;-0,296
-0,164;-0,697;-0,4305
-0,292;-0,777;-0,5345
-0,403;-0,592;-0,4975
-0,335;-0,546;-0,4405
-0,136;-0,518;-0,327
-0,128;-0,47;-0,299
0;-0,482;-0,241
-0,22;-0,593;-0,4065
-0,348;-0,407;-0,3775
-0,132;-0,09;-0,111
0;-0,136;-0,068
-0,127;-0,315;-0,221
-0,145;0;-0,0725
-0,203;-0,04;-0,1215
-0,332;-0,226;-0,279
-0,419;-0,046;-0,2325
-0,269;-0,195;-0,232
-0,083;0;-0,0415
0;-0,089;-0,0445
-0,273;-0,123;-0,198
-0,35;-0,175;-0,2625
-0,317;-0,578;-0,4475
-0,469;-0,683;-0,576
-0,556;-0,488;-0,522
-0,558;-0,541;-0,5495
-0,44;-0,61;-0,525
-0,488;-0,571;-0,5295
-0,136;-0,405;-0,2705
-0,066;-0,2;-0,133
-0,063;-0,028;-0,0455
0;0;0
0;-0,118;-0,059
-0,294;-0,33;-0,312
-0,576;-0,388;-0,482
-0,713;-0,656;-0,6845
-0,626;-0,671;-0,6485
-0,691;-0,794;-0,7425
-0,816;-0,924;-0,87
-0,699;-0,818;-0,7585
-0,622;-0,429;-0,5255
-0,255;-0,071;-0,163
-0,005;0;-0,0025
0;-0,155;-0,0775
0;-0,293;-0,1465
0;-0,267;-0,1335
-0,305;-0,254;-0,2795
-0,191;-0,212;-0,2015
-0,31;-0,288;-0,299
-0,397;-0,321;-0,359
-0,531;-0,113;-0,322
-0,16;-0,227;-0,1935
-0,266;-0,567;-0,4165
-0,317;-0,5;-0,4085
-0,28;-0,481;-0,3805
-0,321;-0,492;-0,4065
-0,361;-0,504;-0,4325
-0,588;-0,524;-0,556
-0,667;-0,891;-0,779
-1,025;-1,067;-1,046
-0,768;-0,548;-0,658
-0,288;0;-0,144
0;-0,309;-0,1545
-0,291;-0,969;-0,63
-0,705;-1,096;-0,9005
-0,76;-0,997;-0,8785
-0,571;-0,856;-0,7135
-0,404;-0,483;-0,4435
-0,309;-0,766;-0,5375
-0,028;-0,734;-0,381
-0,056;-0,892;-0,474
-0,743;-1,356;-1,0495
-0,905;-1,147;-1,026
-1,03;-0,946;-0,988
-1,145;-1,411;-1,278
-1,191;-1,407;-1,299
-1,346;-1,527;-1,4365
-1,511;-1,581;-1,546
-1,589;-1,786;-1,6875
-1,634;-1,508;-1,571
-1,418;-1,464;-1,441
-1,346;-1,28;-1,313
-1,379;-1,094;-1,2365
-1,394;-0,954;-1,174
-1,47;-1,201;-1,3355
-1,748;-1,142;-1,445
-1,488;-0,995;-1,2415
-1,421;-1,141;-1,281
-1,433;-1,148;-1,2905
-1,57;-1,289;-1,4295
-1,353;-0,859;-1,106
-0,399;-0,043;-0,221
0;-0,196;-0,098
-0,128;-0,682;-0,405
-0,536;-1,071;-0,8035
-0,891;-1,279;-1,085
-0,92;-1,411;-1,1655
-1,011;-1,28;-1,1455
-1,143;-1,076;-1,1095
-1,101;-1,134;-1,1175
-1,091;-1,03;-1,0605
-1,07;-1,095;-1,0825
-0,764;-0,84;-0,802
-0,743;-0,909;-0,826
-0,804;-0,77;-0,787
-0,86;-0,989;-0,9245
-0,892;-1,396;-1,144
-0,997;-1,646;-1,3215
-1,101;-1,364;-1,2325
-1,021;-1,331;-1,176
-1,173;-1,018;-1,0955
-1,014;-1,376;-1,195
-0,875;-1,459;-1,167
-0,877;-1,257;-1,067
-0,869;-1,173;-1,021
-0,625;-0,91;-0,7675
-0,396;-0,374;-0,385
-0,322;-0,324;-0,323
-0,172;-0,195;-0,1835
0;-0,234;-0,117
-0,142;-0,233;-0,1875
-0,221;-0,242;-0,2315
-0,145;-0,408;-0,2765
-0,372;-0,39;-0,381
-0,415;-0,14;-0,2775
-0,493;-0,036;-0,2645
-0,558;0;-0,279
-0,427;-0,022;-0,2245
-0,507;0;-0,2535
-0,435;-0,001;-0,218
-0,588;-0,352;-0,47
-0,854;-0,564;-0,709
-0,881;-0,491;-0,686
-0,608;-0,515;-0,5615
-0,676;-0,412;-0,544
-0,76;-0,549;-0,6545
-0,968;-0,768;-0,868
-1,253;-0,627;-0,94
-1,169;-1,126;-1,1475
-1,641;-0,902;-1,2715
-1,657;-0,96;-1,3085
-1,548;-1,09;-1,319
-1,941;-1,204;-1,5725
-1,4;-1,224;-1,312
-1,268;-1,035;-1,1515
-1,241;-1,021;-1,131
-1,048;-0,844;-0,946
-0,856;-1,097;-0,9765
-0,856;-1,177;-1,0165
-1,135;-1,13;-1,1325
-1,073;-1,068;-1,0705
-0,94;-0,793;-0,8665
-0,969;-0,819;-0,894
-1,003;-1,119;-1,061
-1,131;-1,245;-1,188
-1,128;-1,115;-1,1215
-1,068;-0,973;-1,0205
-0,574;-0,893;-0,7335
-0,625;-0,573;-0,599
-0,205;-0,613;-0,409
-0,323;-0,767;-0,545
-0,246;-0,681;-0,4635
-0,021;-0,787;-0,404
-0,27;-0,914;-0,592
-0,478;-1,21;-0,844
-0,425;-1,107;-0,766
-0,828;-0,868;-0,848
-0,381;-1,065;-0,723
-0,2;-0,84;-0,52
-0,233;-0,907;-0,57
-0,654;-1,448;-1,051
-0,882;-1,759;-1,3205
-1,148;-1,449;-1,2985
-0,939;-0,641;-0,79
-0,167;0;-0,0835
0;0;0
-0,33;-0,361;-0,3455
-0,466;-0,454;-0,46
-0,668;-0,715;-0,6915
-0,945;-0,904;-0,9245
-1,099;-1,03;-1,0645
-1,176;-0,934;-1,055
-1,065;-0,968;-1,0165
-1,209;-1,155;-1,182
-1,322;-1,373;-1,3475
-1,222;-1,454;-1,338
-1,143;-1,507;-1,325
-1,206;-1,58;-1,393
-1,294;-1,601;-1,4475
-1,163;-1,582;-1,3725
-1,158;-1,34;-1,249
-1,121;-1,254;-1,1875
-0,763;-1,265;-1,014
-0,497;-1,016;-0,7565
-0,644;-1,119;-0,8815
-0,704;-1,157;-0,9305
-0,438;-0,963;-0,7005
-0,478;-0,865;-0,6715
-0,579;-1,082;-0,8305
-0,719;-1,041;-0,88
-0,88;-1,661;-1,2705
-1,096;-1,483;-1,2895
-1,349;-1,164;-1,2565
-1,206;-0,361;-0,7835
-0,154;0;-0,077
-0,049;-0,374;-0,2115
-0,246;-0,844;-0,545
-0,632;-1,041;-0,8365
-0,777;-1,325;-1,051
-0,798;-1,552;-1,175
-0,843;-1,502;-1,1725
-0,847;-1,671;-1,259
-0,882;-1,766;-1,324
-1,076;-1,943;-1,5095
-1,382;-1,94;-1,661
-1,743;-1,976;-1,8595
-1,666;-1,941;-1,8035
-1,62;-1,936;-1,778
-1,717;-2,111;-1,914
-1,782;-1,827;-1,8045
-1,602;-1,926;-1,764
-1,6;-1,858;-1,729
-1,264;-1,613;-1,4385
-1,22;-1,504;-1,362
-0,931;-1,455;-1,193
-0,768;-1,268;-1,018
-0,756;-1,243;-0,9995
-0,691;-0,962;-0,8265
-0,6;-0,598;-0,599
-0,511;-0,166;-0,3385
-0,451;-0,115;-0,283
-0,546;-0,079;-0,3125
-0,464;0;-0,232
-0,388;-0,095;-0,2415
-0,099;-0,405;-0,252
-0,203;-0,413;-0,308
-0,217;-0,62;-0,4185
-0,218;-0,506;-0,362
-0,125;-0,504;-0,3145
-0,339;-0,331;-0,335
-0,399;-0,228;-0,3135
-0,16;0;-0,08
-0,33;-0,19;-0,26
-0,304;-0,236;-0,27
-0,369;-0,131;-0,25
-0,122;0;-0,061
-0,255;-0,086;-0,1705
0;0;0
-0,224;-0,046;-0,135
-0,242;-0,281;-0,2615
-0,31;-0,516;-0,413
-0,402;-0,651;-0,5265
-0,524;-0,91;-0,717
-0,735;-0,776;-0,7555
-0,856;-0,716;-0,786
-0,913;-0,848;-0,8805
-0,68;-0,917;-0,7985
-0,733;-0,538;-0,6355
-0,535;-0,3;-0,4175
-0,411;-0,383;-0,397
-0,418;-0,321;-0,3695
-0,448;-0,267;-0,3575
-0,216;-0,209;-0,2125
-0,236;-0,128;-0,182
-0,206;-0,252;-0,229
-0,29;-0,098;-0,194
-0,394;-0,109;-0,2515
-0,137;0;-0,0685
0;-0,13;-0,065
-0,097;-0,088;-0,0925
-0,593;-0,094;-0,3435
-0,474;-0,266;-0,37
-0,459;-0,241;-0,35
-0,544;-0,439;-0,4915
-0,944;-0,164;-0,554
-0,602;0;-0,301
-0,571;-0,186;-0,3785
-0,736;-0,401;-0,5685
-0,796;-0,362;-0,579
-0,445;-0,557;-0,501
-0,64;-0,648;-0,644
-0,964;-0,64;-0,802
-0,92;-0,226;-0,573
-0,684;-0,503;-0,5935
-0,368;-0,352;-0,36
-0,749;-0,696;-0,7225
-0,962;-1,148;-1,055
-0,728;-0,246;-0,487
-0,283;0;-0,1415
0;-0,493;-0,2465
-0,552;-0,728;-0,64
-0,835;-0,428;-0,6315
-0,996;-0,23;-0,613
-0,564;-0,289;-0,4265
-0,636;-0,179;-0,4075
-0,796;-0,395;-0,5955
-0,649;-0,432;-0,5405
-0,536;-0,27;-0,403
-0,874;-0,625;-0,7495
-1,065;-0,893;-0,979
-1,302;-0,82;-1,061
-1,168;-1,047;-1,1075
-1,566;-1,225;-1,3955
-1,479;-1,375;-1,427
-1,642;-1,252;-1,447
-1,362;-0,926;-1,144
-1,367;-0,941;-1,154
-1,437;-0,995;-1,216
-1,541;-1,185;-1,363
-1,335;-1,083;-1,209
-1,256;-1,029;-1,1425
-1,017;-0,832;-0,9245
-1,043;-0,882;-0,9625
-1,19;-1,062;-1,126
-1,21;-1,302;-1,256
-1,378;-1,501;-1,4395
-1,683;-1,258;-1,4705
-1,309;-0,415;-0,862
-0,483;0;-0,2415
0;0;0
-0,134;-0,397;-0,2655
-0,323;-0,49;-0,4065
-0,288;-0,692;-0,49
-0,633;-0,489;-0,561
-0,445;-0,331;-0,388
-0,612;-0,184;-0,398
-0,188;-0,269;-0,2285
-0,119;-0,376;-0,2475
-0,457;-0,295;-0,376
-0,44;-0,329;-0,3845
-0,188;-0,105;-0,1465
-0,18;-0,134;-0,157
-0,039;-0,191;-0,115
-0,047;0;-0,0235
-0,036;-0,135;-0,0855
0;0;0
0;-0,11;-0,055
-0,022;-0,06;-0,041
0;0;0
-0,113;-0,288;-0,2005
-0,467;-0,702;-0,5845
-0,475;-0,865;-0,67
-0,628;-0,806;-0,717
-0,861;-0,976;-0,9185
-0,876;-1,054;-0,965
-0,947;-1,079;-1,013
-1,17;-1,117;-1,1435
-1,466;-1,247;-1,3565
-1,412;-1,459;-1,4355
-1,281;-1,31;-1,2955
-1,196;-1,374;-1,285
-1,086;-1,221;-1,1535
-1,158;-1,293;-1,2255
-1,155;-1;-1,0775
-1,078;-1,1;-1,089
-0,839;-1,541;-1,19
-0,845;-1,449;-1,147
-1,326;-1,568;-1,447
-1,317;-1,318;-1,3175
-0,916;-1,097;-1,0065
-0,667;-0,835;-0,751
-0,674;-0,983;-0,8285
-0,852;-1,005;-0,9285
-0,949;-0,928;-0,9385
-0,949;-0,894;-0,9215
-0,852;-0,84;-0,846
-0,677;-0,874;-0,7755
-0,464;-0,877;-0,6705
-0,708;-0,759;-0,7335
-0,603;-0,628;-0,6155
-0,215;-0,427;-0,321
-0,278;-0,722;-0,5
-0,132;-0,839;-0,4855
-0,313;-0,709;-0,511
-0,416;-0,99;-0,703
-0,529;-0,739;-0,634
-0,587;-0,768;-0,6775
-0,249;-0,525;-0,387
-0,283;-0,651;-0,467
-0,609;-0,635;-0,622
-0,603;-0,687;-0,645
-0,889;-0,576;-0,7325
-0,869;-0,471;-0,67
-1,077;-0,499;-0,788
-0,976;-0,291;-0,6335
-1,04;-0,368;-0,704
-1,129;-0,306;-0,7175
-0,948;-0,324;-0,636
-1,023;-0,496;-0,7595
-0,867;-0,063;-0,465
-0,637;-0,053;-0,345
-0,355;-0,273;-0,314
-0,176;-0,265;-0,2205
0;-0,458;-0,229
-0,043;-0,506;-0,2745
-0,347;-0,386;-0,3665
-0,703;-0,31;-0,5065
-0,507;-0,565;-0,536
-0,749;-0,554;-0,6515
-0,53;-0,406;-0,468
-0,498;-0,432;-0,465
-0,43;-0,254;-0,342
-0,383;-0,095;-0,239
-0,391;-0,365;-0,378
-0,537;-0,607;-0,572
-0,808;-0,808;-0,808
-1,04;-0,998;-1,019
-1,403;-1,128;-1,2655
-1,349;-0,967;-1,158
-1,272;-0,812;-1,042
-1,199;-0,768;-0,9835
-0,905;-0,636;-0,7705
-0,931;-0,58;-0,7555
-0,923;-0,373;-0,648
-0,889;-0,221;-0,555
-0,92;-0,163;-0,5415
-1,018;-0,157;-0,5875
-0,628;-0,186;-0,407
-0,528;-0,092;-0,31
-0,642;-0,311;-0,4765
-0,364;-0,268;-0,316
-0,223;-0,469;-0,346
-0,22;-0,796;-0,508
-0,333;-0,802;-0,5675
-0,284;-0,684;-0,484
-0,479;-0,562;-0,5205
-0,504;-0,804;-0,654
-0,692;-0,979;-0,8355
-0,989;-1,084;-1,0365
-1,234;-1,192;-1,213
-1,091;-1,198;-1,1445
-1,219;-1,655;-1,437
-1,517;-1,563;-1,54
-1,429;-0,836;-1,1325
-0,817;-0,434;-0,6255
-0,175;-0,666;-0,4205
-0,371;-1,1;-0,7355
-0,897;-1,089;-0,993
-1,022;-0,923;-0,9725
-0,985;-0,895;-0,94
-1,006;-0,624;-0,815
-0,929;-0,561;-0,745
-0,649;-0,279;-0,464
-0,592;-0,319;-0,4555
-0,328;-0,588;-0,458
-0,16;-0,689;-0,4245
-0,374;-0,545;-0,4595
-0,028;-0,448;-0,238
-0,252;-0,474;-0,363
0;-0,482;-0,241
-0,011;-0,545;-0,278
-0,116;-0,596;-0,356
-0,121;-0,552;-0,3365
-0,216;-0,698;-0,457
-0,272;-0,419;-0,3455
-0,025;-0,823;-0,424
-0,386;-0,502;-0,444
-0,084;-0,619;-0,3515
-0,173;-0,835;-0,504
-0,369;-0,762;-0,5655
-0,681;-0,745;-0,713
-0,647;-1,047;-0,847
-1,135;-1,16;-1,1475
-1,088;-0,723;-0,9055
-0,56;0;-0,28
-0,028;-0,161;-0,0945
-0,24;-0,553;-0,3965
-0,667;-0,565;-0,616
-0,794;-0,535;-0,6645
-0,651;-0,626;-0,6385
-0,733;-0,635;-0,684
-0,664;-0,722;-0,693
-0,517;-0,876;-0,6965
-0,661;-0,785;-0,723
-0,497;-0,941;-0,719
-0,666;-0,528;-0,597
-0,398;-0,455;-0,4265
-0,311;-0,241;-0,276
-0,063;0;-0,0315
-0,056;0;-0,028
0;0;0
-0,104;-0,117;-0,1105
-0,26;-0,367;-0,3135
-0,499;-0,644;-0,5715
-0,682;-0,382;-0,532
-0,604;-0,278;-0,441
-0,632;-0,365;-0,4985
-0,637;-0,613;-0,625
-0,797;-1,001;-0,899
-1,464;-0,886;-1,175
-1,303;-1;-1,1515
-1,425;-0,992;-1,2085
-1,453;-1,413;-1,433
-1,851;-1,703;-1,777
-2,211;-1,715;-1,963
-2,203;-1,838;-2,0205
-2,105;-1,976;-2,0405
-2,102;-2,009;-2,0555
-1,898;-1,902;-1,9
-1,979;-1,863;-1,921
-2,091;-1,583;-1,837
-1,376;-1,398;-1,387
-0,996;-0,866;-0,931
-0,759;-0,767;-0,763
-0,864;-1,264;-1,064
-1,297;-1,148;-1,2225
-1,31;-1,094;-1,202
-1,258;-0,963;-1,1105
-0,867;-0,623;-0,745
-0,391;-0,508;-0,4495
-0,498;-0,517;-0,5075
-0,215;-0,461;-0,338
-0,253;-0,18;-0,2165
0;-0,034;-0,017
0;0;0
-0,232;-0,076;-0,154
-0,511;-0,129;-0,32
-0,555;-0,42;-0,4875
-0,768;-0,678;-0,723
-0,777;-0,679;-0,728
-0,803;-0,868;-0,8355
-0,743;-1,009;-0,876
-1,033;-1,349;-1,191
-1,115;-0,744;-0,9295
-0,629;0;-0,3145
0;0;0
-0,226;-0,133;-0,1795
-0,054;-0,364;-0,209
-0,514;-0,216;-0,365
-0,366;-0,385;-0,3755
-0,151;-0,557;-0,354
-0,526;-0,314;-0,42
-0,452;-0,499;-0,4755
-0,521;-0,215;-0,368
-0,361;-0,12;-0,2405
-0,246;0;-0,123
-0,279;-0,106;-0,1925
-0,152;0;-0,076
-0,072;-0,2;-0,136
0;-0,358;-0,179
-0,375;-0,301;-0,338
-0,313;-0,439;-0,376
-0,314;-0,421;-0,3675
-0,201;-0,495;-0,348
-0,036;-0,057;-0,0465
-0,134;-0,213;-0,1735
-0,33;-0,498;-0,414
-0,626;-0,471;-0,5485
-0,7;-0,628;-0,664
-0,633;-0,375;-0,504
-0,369;-0,252;-0,3105
-0,292;-0,463;-0,3775
-0,49;-1,225;-0,8575
-0,895;-0,79;-0,8425
-0,628;-0,059;-0,3435
0;0;0
-0,287;-0,375;-0,331
-0,495;-0,843;-0,669
-0,825;-0,826;-0,8255
-1,066;-0,928;-0,997
-0,923;-1,18;-1,0515
-1,219;-0,861;-1,04
-0,816;-0,963;-0,8895
-0,906;-0,717;-0,8115
-0,696;-0,64;-0,668
-0,646;-0,888;-0,767
-1,235;-1,438;-1,3365
-1,497;-1,424;-1,4605
-1,27;-1,406;-1,338
-1,265;-1,753;-1,509
-1,349;-2,009;-1,679
-1,511;-2,343;-1,927
-1,923;-2,092;-2,0075
-2,454;-2,333;-2,3935
-2,585;-2,82;-2,7025
-2,92;-2,931;-2,9255
-2,882;-2,817;-2,8495
-3,014;-2,379;-2,6965
-2,709;-2,569;-2,639
-2,512;-2,71;-2,611
-2,362;-1,978;-2,17
-1,634;-1,759;-1,6965
-1,238;-1,732;-1,485
-1,172;-1,795;-1,4835
-1,239;-1,649;-1,444
-1,127;-1,703;-1,415
-1,215;-1,713;-1,464
-1,142;-1,618;-1,38
-1,328;-1,79;-1,559
-1,277;-1,53;-1,4035
-1,28;-1,065;-1,1725
-1,141;-0,614;-0,8775
-0,862;-0,822;-0,842
-0,98;-0,554;-0,767
-0,808;-0,15;-0,479
